,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Boucle-Du-Mouhoun,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Cascades,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Centre,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Centre-Est,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Centre-Nord,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Centre-Ouest,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Centre-Sud,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Est,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Hauts-Bassins,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Nord,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Plateau-Central,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Sahel,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
Sud-Ouest,1672.0,1672.0,0.0,0.0,872.0,876.0,0.0,0.0,1673.0,1673.0,0.0,1792.0,1672.0,872.0,0.0,872.0
