,index,adm1_name,rmse,type,adm1_code
0,65705,Nassarawa,0.12387207131408944,test,65705
1,65698,Abia,0.019559917897384052,test,65698
2,2224,Kaduna,0.08741207241020753,test,2224
3,65699,Bauchi,0.04461772762486807,test,65699
4,65706,Ondo,0.09166097706697855,PREDICTION,65706
5,65700,Bayelsa,0.09062888025363273,PREDICTION,65700
6,2235,Oyo,0.08159825597645153,PREDICTION,2235
7,2234,Osun,0.09963042841603008,PREDICTION,2234
8,2222,Imo,0.048872783857751866,PREDICTION,2222
9,2218,Delta,0.052614962898799876,PREDICTION,2218
10,2213,Anambra,0.05445589485949569,PREDICTION,2213
11,65701,Ebonyi,0.10310683264296182,PREDICTION,65701
12,65702,Ekiti,0.09710543781701307,PREDICTION,65702
13,2240,Yobe,0.08156135094340826,30DAYS,2240
14,2211,Adamawa,0.09102237184481114,30DAYS,2211
15,2216,Borno,0.13386406074791024,30DAYS,2216
16,65708,Rivers,0.005090292757000097,train,65708
17,65707,Plateau,0.0062733451421838,train,65707
18,2232,Ogun,0.006541697438180675,train,2232
19,2231,Niger,0.007351262667090214,train,2231
20,2230,Lagos,0.005714625272138388,train,2230
21,2229,Kwara,0.0062784479287951505,train,2229
22,2228,Kogi,0.011269211402107657,train,2228
23,2227,Kebbi,0.006580370299479341,train,2227
24,65709,Sokoto,0.005215575130480105,train,65709
25,65710,Zamfara,0.005966478688488623,train,65710
26,2239,Taraba,0.007930370312917847,train,2239
27,2226,Katsina,0.009762190841187703,train,2226
28,2225,Kano,0.007587167304303735,train,2225
29,2221,Abuja,0.005400621668004293,train,2221
30,2212,Akwa Ibom,0.00827883838038625,train,2212
31,2223,Jigawa,0.007261814615210242,train,2223
32,65704,Gombe,0.005728602158046202,train,65704
33,65703,Enugu,0.00442029498381192,train,65703
34,2219,Edo,0.007479513139708775,train,2219
35,2217,Cross River,0.008514738281420912,train,2217
36,2215,Benue,0.006935338114261683,train,2215
